strategy,seed,mean_distance_mm,percent_within_10mm,runtime_sec
rigid,47,8.76881974177749,76.8713204373423,0.7107386998832226
rigid_affine,42,9.364865106275719,61.925601750547045,5.763339899946004
rigid_affine,43,6.418585597252296,74.58715596330275,2.124927500030026
rigid_affine,44,6.14040491980155,75.14018691588785,1.9461445999331772
rigid_affine,45,4.391264532219737,88.87640449438202,2.1383739998564124
rigid_affine,46,7.800019822419747,73.55278093076049,2.3641867998521775
rigid_affine,48,4.623863497383529,87.0757180156658,1.9531179999466985
rigid_affine,49,5.388664381384622,80.85106382978722,1.7954174999613315
rigid_affine,50,6.822641464727126,71.63355408388522,1.7044995001051575
rigid_affine,51,10.700827706877119,64.14881623449831,2.2893723000306636
rigid_affine,52,4.270568422880455,90.78212290502793,1.9594791000708938
rigid_affine,53,5.663952717770322,82.62867647058823,1.8824839999433607
rigid_affine,54,3.835231336316677,89.82630272952854,2.364016299834475
rigid_affine,55,9.091344962294684,65.49773755656109,2.9708002998959273
rigid_affine,56,15.529215096697815,33.71212121212121,2.8398152999579906
rigid_affine,57,6.893771672952923,72.15094339622642,1.7736703001428396
rigid_affine,58,7.227437862760231,72.29038854805727,1.930592400021851
rigid_affine,59,4.891555562336804,89.17127071823204,1.8500393000431359
rigid_affine,60,9.54884304381271,45.52301255230125,2.0335093000903726
rigid_affine,61,6.621010804295794,72.85067873303167,2.098592499969527
